Date ,OPEN ,HIGH ,LOW ,close ,VOLUME 
25-Jun-2024,2886,2911.85,2882,2908.3,3522693
24-Jun-2024,2891.05,2899,2875,2882.95,4439193
21-Jun-2024,2947.25,2949.4,2881.15,2908.4,15585180
20-Jun-2024,2918,2965.7,2900.2,2947.4,8056888
19-Jun-2024,2975,2975,2912,2917.3,4362937
18-Jun-2024,2974.7,2974.8,2942.7,2962.05,3598383
14-Jun-2024,2940,2959.35,2914.45,2955.1,4078999
13-Jun-2024,2944,2944.5,2920.2,2930.5,4590580
12-Jun-2024,2915,2952,2910.35,2926.65,5040871
11-Jun-2024,2938,2947.35,2909.35,2913.35,5887451
10-Jun-2024,2939.9,2986.7,2936.15,2942.8,4625880
07-Jun-2024,2857,2944,2853,2939.9,9279348
06-Jun-2024,2870,2887.4,2842.7,2863.2,8927861
